immunophenotype
CD117+ CD123+ CD34+ CD38- CD41lo CD45RA+ CD61lo CD9+
CD117+ CD123+ CD34+ CD38+ CD41lo CD45RA+ CD61lo CD9+
CD117- CD123+ CD38+ CD41lo CD45RA+ CD61lo CD9+
CD117+ CD123- CD38+ CD41lo CD45RA+ CD61lo CD9+
CD117+ CD123+ CD34+ CD41lo CD45RA- CD61lo CD9+
CD117+ CD123+ CD34+ CD41lo CD45RA+ CD61lo CD9-
CD117+ CD123+ CD34+ CD41lo CD45RA+ CD61lo CD9+
CD117+ CD123+ CD34+ CD41- CD45RA+ CD61lo CD9+
CD117+ CD123+ CD34+ CD41lo CD45RA+ CD61- CD9+
CD117+ CD123+ CD38+ CD41lo CD45RA- CD61- CD9+
CD123+ CD34+ CD38+ CD41lo CD45RA- CD61lo CD9+
CD117+ CD123+ CD34+ CD41- CD45RA+ CD61- CD9+
CD117+ CD123- CD38+ CD41lo CD45RA+ CD61lo
CD117+ CD123+ CD34+ CD41lo CD45RA+ CD61lo
CD117+ CD123+ CD38+ CD41lo CD45RA+ CD61-
CD117+ CD123+ CD41lo CD45RA+ CD61lo CD9-
CD117- CD123+ CD38+ CD41lo CD45RA- CD9+
CD117- CD123+ CD38+ CD41lo CD45RA+ CD9+
CD117+ CD123+ CD34+ CD38- CD41lo CD61lo
CD117+ CD123+ CD34+ CD41- CD45RA+ CD61-
CD117+ CD123+ CD34+ CD41lo CD45RA+ CD9+
CD117+ CD123+ CD34+ CD45RA+ CD61lo CD9+
CD117+ CD123+ CD38+ CD41lo CD45RA+ CD9+
CD117+ CD34- CD41lo CD45RA+ CD61lo CD9-
CD117+ CD34+ CD41hi CD45RA+ CD61hi CD9+
CD117+ CD38+ CD41lo CD45RA+ CD61lo CD9+
CD123+ CD34+ CD41hi CD45RA+ CD61hi CD9+
CD123+ CD34+ CD41lo CD45RA- CD61lo CD9+
CD123+ CD38+ CD41lo CD45RA+ CD61lo CD9+
CD117- CD123+ CD38+ CD41lo CD61lo CD9-
CD117- CD123+ CD38+ CD41lo CD61lo CD9+
CD117+ CD123- CD34- CD41lo CD61lo CD9+
CD117+ CD123+ CD34+ CD41- CD45RA+ CD9+
CD117+ CD123+ CD34+ CD41lo CD61lo CD9+
CD117+ CD123+ CD34+ CD45RA+ CD61- CD9+
CD117+ CD123+ CD41- CD45RA+ CD61- CD9-
CD117- CD123+ CD38+ CD41lo CD61- CD9+
CD123+ CD34+ CD38+ CD41- CD45RA+ CD9+
CD123+ CD34+ CD38+ CD41lo CD61lo CD9+
CD123+ CD38+ CD41- CD45RA+ CD61- CD9+
CD117+ CD123+ CD34+ CD38- CD41- CD9-
CD117+ CD123+ CD41lo CD45RA+ CD61lo
CD117- CD38+ CD41lo CD45RA+ CD61lo
CD117+ CD123+ CD34+ CD41lo CD45RA+
CD117+ CD123+ CD34+ CD45RA+ CD61lo
CD117+ CD123+ CD38+ CD41lo CD45RA+
CD117+ CD123+ CD41- CD45RA+ CD61lo
CD117+ CD123+ CD41lo CD45RA+ CD61-
CD117+ CD38- CD41lo CD45RA+ CD61lo
CD117+ CD38+ CD41lo CD45RA- CD61lo
CD117+ CD38+ CD41lo CD45RA+ CD61lo
CD123- CD34- CD41lo CD45RA+ CD61lo
CD123- CD38+ CD41lo CD45RA- CD61lo
CD117- CD123- CD34- CD41lo CD61lo
CD117- CD123+ CD34- CD41lo CD61lo
CD117- CD123+ CD38+ CD41lo CD61lo
CD117+ CD123- CD41lo CD45RA+ CD9-
CD117+ CD123+ CD34+ CD41- CD45RA+
CD117+ CD123+ CD34+ CD41lo CD61lo
CD117+ CD123+ CD34+ CD45RA+ CD61-
CD117+ CD123+ CD41- CD45RA+ CD61-
CD117+ CD123+ CD41lo CD45RA- CD9+
CD117+ CD123+ CD41lo CD45RA+ CD9+
CD117+ CD34- CD38+ CD41lo CD45RA+
CD117+ CD34- CD41lo CD45RA+ CD61-
CD117+ CD34+ CD38+ CD41lo CD45RA+
CD117+ CD38+ CD41lo CD45RA+ CD61-
CD117+ CD41lo CD45RA+ CD61lo CD9-
CD117+ CD41lo CD45RA+ CD61lo CD9+
CD123- CD41lo CD45RA+ CD61lo CD9-
CD123+ CD41lo CD45RA+ CD61lo CD9+
CD117- CD123+ CD41lo CD61lo CD9-
CD117+ CD123- CD34+ CD41- CD61lo
CD117+ CD123- CD34+ CD41lo CD61-
CD117+ CD123- CD41lo CD61lo CD9+
CD117+ CD123+ CD34+ CD45RA+ CD9+
CD117+ CD123+ CD38+ CD41lo CD61-
CD117+ CD123+ CD41lo CD61lo CD9+
CD117+ CD34+ CD41- CD45RA+ CD61-
CD117+ CD38+ CD41- CD45RA+ CD61-
CD117+ CD38+ CD41lo CD45RA+ CD9+
CD117+ CD41lo CD45RA+ CD61- CD9-
CD123+ CD38+ CD41lo CD45RA- CD9+
CD123+ CD38+ CD41lo CD45RA+ CD9+
CD34- CD41lo CD45RA- CD61lo CD9-
CD34- CD41lo CD45RA+ CD61lo CD9-
CD34+ CD41hi CD45RA- CD61hi CD9+
CD34+ CD41hi CD45RA+ CD61hi CD9+
CD38+ CD41lo CD45RA+ CD61lo CD9+
CD117- CD123+ CD38+ CD41lo CD9+
CD117- CD34+ CD41hi CD61hi CD9+
CD117+ CD123+ CD34+ CD41lo CD9+
CD117+ CD123+ CD34+ CD61lo CD9+
CD117+ CD123+ CD38+ CD41lo CD9+
CD117+ CD123+ CD41lo CD61- CD9+
CD117+ CD34+ CD41hi CD61hi CD9+
CD117+ CD41- CD45RA+ CD61- CD9-
CD123- CD34+ CD41hi CD61hi CD9+
CD123+ CD34+ CD38+ CD45RA+ CD9+
CD123+ CD34+ CD41- CD45RA+ CD9+
CD123+ CD34+ CD41lo CD61lo CD9+
CD123+ CD38+ CD41- CD45RA+ CD9+
CD123+ CD38+ CD41lo CD61lo CD9+
CD123+ CD41- CD45RA+ CD61- CD9+
CD123+ CD34+ CD38+ CD41lo CD9+
CD123+ CD38+ CD41lo CD61- CD9+
CD117- CD41lo CD45RA- CD61lo
CD117+ CD123- CD41lo CD45RA+
CD117+ CD123+ CD41lo CD45RA+
CD117+ CD123+ CD45RA+ CD61lo
CD117+ CD41lo CD45RA- CD61lo
CD117+ CD41lo CD45RA+ CD61lo
CD123- CD41lo CD45RA+ CD61lo
CD123+ CD41lo CD45RA+ CD61lo
CD117- CD123- CD41lo CD61lo
CD117- CD123+ CD41lo CD61lo
CD117- CD38+ CD41lo CD45RA-
CD117- CD38+ CD41lo CD45RA+
CD117+ CD123- CD41lo CD61lo
CD117+ CD123+ CD34+ CD45RA+
CD117+ CD123+ CD41- CD45RA+
CD117+ CD123+ CD41lo CD61lo
CD117+ CD123+ CD45RA+ CD61-
CD117+ CD34- CD41lo CD45RA+
CD117+ CD34+ CD41lo CD45RA-
CD117+ CD34+ CD41lo CD45RA+
CD117+ CD38+ CD41lo CD45RA-
CD117+ CD38+ CD41lo CD45RA+
CD117+ CD41lo CD45RA+ CD61-
CD123+ CD38+ CD41lo CD45RA+
CD34- CD41lo CD45RA+ CD61lo
CD38+ CD41lo CD45RA- CD61lo
CD38+ CD41lo CD45RA+ CD61lo
CD117- CD123+ CD38+ CD41lo
CD117- CD34- CD41lo CD61lo
CD117- CD38+ CD41lo CD61lo
CD117+ CD123- CD41lo CD61-
CD117+ CD123+ CD34+ CD41lo
CD117+ CD123+ CD34+ CD61lo
CD117+ CD123+ CD38+ CD41lo
CD117+ CD123+ CD41lo CD61-
CD117+ CD123+ CD45RA+ CD9-
CD117+ CD123+ CD45RA+ CD9+
CD117+ CD34- CD41lo CD61lo
CD117+ CD34+ CD41- CD45RA+
CD117+ CD34+ CD45RA+ CD61-
CD117+ CD38- CD41lo CD61lo
CD117+ CD38+ CD41- CD45RA+
CD117+ CD38+ CD41lo CD61lo
CD117+ CD38+ CD45RA+ CD61-
CD117+ CD41- CD45RA+ CD61-
CD117+ CD41lo CD45RA+ CD9-
CD117+ CD41lo CD45RA+ CD9+
CD117+ CD45RA+ CD61lo CD9+
CD123- CD34- CD41lo CD61lo
CD123- CD38- CD41lo CD61lo
CD123- CD38+ CD41lo CD61lo
CD123- CD41lo CD45RA+ CD9-
CD123+ CD34- CD41lo CD61lo
CD123+ CD34+ CD41- CD45RA+
CD123+ CD34+ CD41lo CD61lo
CD123+ CD38+ CD41lo CD61lo
